Layer,Name,GEOID,Longitude,Latitude,NXP_2021
,,,,,"Pharmacies per capita (pharmacies per 100,000 residents), 2021"
Community area,Rogers Park,1,-87.67017100,42.00963000,19.557406606663275
Community area,Norwood Park,10,-87.80345100,41.98524800,15.062948370928117
Community area,Jefferson Park,11,-87.77116500,41.97883600,15.380807095880467
Community area,Forest Glen,12,-87.75835800,41.99393800,15.556064906585155
Community area,North Park,13,-87.72357800,41.98365100,27.55039536527997
Community area,Albany Park,14,-87.72155800,41.96807800,18.888067742277304
Community area,Portage Park,15,-87.76340100,41.95404300,16.137757814484196
Community area,Irving Park,16,-87.72345700,41.95358900,18.64561071716991
Community area,Dunning,17,-87.80601500,41.94652200,20.320244924498265
Community area,Montclare,18,-87.79803300,41.92930600,16.478074446997542
Community area,Belmont Cragin,19,-87.76550200,41.92727500,17.85169368182285
Community area,West Ridge,2,-87.69501700,42.00158300,26.277341289317274
Community area,Hermosa,20,-87.73474100,41.92435300,17.94908163230224
Community area,Avondale,21,-87.71121900,41.93867300,22.108024249855603
Community area,Logan Square,22,-87.69914900,41.92276800,26.60298946751085
Community area,Humboldt Park,23,-87.72091700,41.90008000,25.599327185501036
Community area,West Town,24,-87.67635800,41.90121600,32.12503083425548
Community area,Austin,25,-87.76311700,41.89411300,16.1538866503226
Community area,West Garfield Park,26,-87.73023300,41.87860200,37.7776658439531
Community area,East Garfield Park,27,-87.70589200,41.87892300,54.486393009293664
Community area,Near West Side,28,-87.66351300,41.87401600,53.081607370162786
Community area,North Lawndale,29,-87.71721800,41.86019700,22.498319777956944
Community area,Uptown,3,-87.65589900,41.96582200,33.16673472779771
Community area,South Lawndale,30,-87.71400000,41.83909100,17.683654929664723
Community area,Lower West Side,31,-87.66757000,41.85027700,27.716103197119335
Community area,Loop,32,-87.62519400,41.87888100,161.11608253702175
Community area,Near South Side,33,-87.62034400,41.85719600,23.586912969474035
Community area,Armour Square,34,-87.63397600,41.84208300,25.07701844864553
Community area,Douglas,35,-87.61868000,41.83512200,26.310609806628527
Community area,Oakland,36,-87.60321700,41.82375400,28.996406706447896
Community area,Fuller Park,37,-87.63242700,41.80908200,19.2292284272094
Community area,Grand Boulevard,38,-87.61786000,41.81294700,27.54172854894082
Community area,Kenwood,39,-87.59618600,41.80891800,29.09652413127408
Community area,Lincoln Square,4,-87.68751300,41.97518200,23.071471067675507
Community area,Washington Park,40,-87.61793600,41.79235600,24.494145179933675
Community area,Hyde Park,41,-87.59230500,41.79408800,24.368166593398293
Community area,Woodlawn,42,-87.59492400,41.77887700,20.004323213284916
Community area,South Shore,43,-87.57279000,41.76158300,17.017708745512184
Community area,Chatham,44,-87.61596500,41.74020600,11.220850122317799
Community area,Avalon Park,45,-87.58634700,41.74419700,12.73532501063187
Community area,South Chicago,46,-87.55143500,41.74124300,16.951488933086427
Community area,Burnside,47,-87.59647000,41.72818100,9.34083542447456
Community area,Calumet Heights,48,-87.57272000,41.72967300,15.861773698416448
Community area,Roseland,49,-87.62336600,41.70658800,22.538926252604472
Community area,North Center,5,-87.68383900,41.94781100,24.9400265553306
Community area,Pullman,50,-87.59825200,41.70613100,23.86991728757612
Community area,South Deering,51,-87.57005800,41.69063900,8.369882490028102
Community area,East Side,52,-87.53490700,41.70730600,16.92983241527864
Community area,West Pullman,53,-87.63574500,41.67382000,23.471024876328904
Community area,Riverdale,54,-87.60284900,41.66013700,17.1949842809085
Community area,Hegewisch,55,-87.55680300,41.66818800,1.7080848037427665
Community area,Garfield Ridge,56,-87.76424600,41.79618500,19.997406950588417
Community area,Archer Heights,57,-87.72636500,41.81087300,13.143477237059324
Community area,Brighton Park,58,-87.69885900,41.81736400,13.310257444660861
Community area,McKinley Park,59,-87.67250000,41.82992700,22.788859352437484
Community area,Lake View,6,-87.65600100,41.94423600,34.87073409976759
Community area,Bridgeport,60,-87.64878400,41.83615100,25.089168561621843
Community area,New City,61,-87.65917100,41.80901700,19.225241529270747
Community area,West Elsdon,62,-87.72421300,41.79297700,12.21812092118792
Community area,Gage Park,63,-87.69643300,41.79542900,13.133775448419929
Community area,Clearing,64,-87.76851700,41.77958200,20.21980731792297
Community area,West Lawn,65,-87.72692700,41.76977400,12.675184098578251
Community area,Chicago Lawn,66,-87.69566700,41.77184900,11.488375767414487
Community area,West Englewood,67,-87.66659800,41.77592600,12.4489592670053
Community area,Englewood,68,-87.64250200,41.77720100,38.9127332518808
Community area,Greater Grand Crossing,69,-87.61613900,41.76325100,18.412142247378675
Community area,Lincoln Park,7,-87.64949100,41.92269600,33.42741259433552
Community area,Ashburn,70,-87.70836300,41.74575600,16.448892853694737
Community area,Auburn Gresham,71,-87.65630500,41.74420300,16.70736842255174
Community area,Beverly,72,-87.67507200,41.71314800,19.316271639902133
Community area,Washington Heights,73,-87.64889700,41.71749500,20.35330137340066
Community area,Mount Greenwood,74,-87.71318900,41.69487600,10.77142029259611
Community area,Morgan Park,75,-87.66906200,41.68972900,19.3393768568658
Community area,O'Hare,76,-87.89369900,41.97569600,31.569642261357803
Community area,Edgewater,77,-87.66341900,41.98671900,35.55561294476039
Community area,Near North Side,8,-87.63331800,41.89961100,37.13661968611538
Community area,Edison Park,9,-87.81378000,42.00762700,10.785190330738017
